Branch,College_Tier,Attendance,CGPA,Backlogs,Coding_Skills,DSA_Score,Aptitude_Score,Communication_Score,Internships_Count,Projects_Count,Certifications_Count,Mock_Interview_Score,Placement_Probability,Placement_Status
ECE,Tier 2,73,9.84,0,79,86,83,59,3,2,9,64,95.62,Placed
EEE,Tier 1,70,6.42,1,62,98,54,48,3,4,5,91,37.24,Not Placed
IT,Tier 2,77,7.85,3,42,98,73,56,3,5,9,83,51.43,Not Placed
EEE,Tier 2,71,6.79,0,79,70,85,66,0,1,8,100,46.02,Not Placed
EEE,Tier 3,82,9.07,4,89,43,84,86,1,7,0,41,74.22,Placed
AIML,Tier 2,71,8.1,5,49,76,43,41,3,6,3,81,27.37,Not Placed
IT,Tier 3,72,8.36,1,64,56,53,75,0,3,0,40,55.78,Not Placed
IT,Tier 2,84,9.09,5,91,78,53,58,0,1,0,75,48.1,Not Placed
IT,Tier 2,78,7.28,5,88,87,55,56,0,5,7,96,23.5,Not Placed
EEE,Tier 2,95,9.62,0,47,85,46,44,1,7,1,51,86.4,Placed
ECE,Tier 3,67,7.9,1,94,65,71,78,0,5,0,48,70.64,Placed
IT,Tier 3,88,6.21,1,50,87,58,57,1,5,7,75,23.88,Not Placed
MECH,Tier 1,91,8.63,2,100,78,41,92,2,7,3,80,83.99,Placed
EEE,Tier 3,77,9.07,5,44,80,49,93,0,5,2,67,43.14,Not Placed
AIML,Tier 3,65,6.93,1,97,43,89,98,3,2,3,77,61.93,Placed
ECE,Tier 3,77,9.36,2,84,69,100,46,0,3,4,72,82.83,Placed
MECH,Tier 3,78,9.58,3,92,69,56,56,2,6,0,81,84.21,Placed
MECH,Tier 1,81,6.75,2,94,61,76,78,2,5,0,100,48.31,Not Placed
AIML,Tier 3,96,9.93,4,76,50,51,75,0,5,2,85,69.15,Placed
ECE,Tier 2,91,6.13,0,95,41,45,79,2,4,5,61,35.13,Not Placed
EEE,Tier 2,100,6.41,3,98,83,61,84,1,3,0,64,30.71,Not Placed
CSE,Tier 3,62,6.33,3,84,51,71,43,1,1,1,100,13.05,Not Placed
ECE,Tier 3,87,9.52,4,77,69,80,77,0,3,6,57,71.75,Placed
AIML,Tier 2,69,8.44,2,68,75,59,64,1,3,0,45,60.34,Placed
MECH,Tier 2,94,6.18,0,44,57,40,44,1,7,6,57,18.35,Not Placed
EEE,Tier 1,88,7.48,2,48,65,93,69,3,7,3,91,57.32,Not Placed
ECE,Tier 2,74,8.27,1,98,92,86,51,0,7,9,55,84.81,Placed
CSE,Tier 2,92,5.88,2,87,46,92,43,2,6,5,54,24.88,Not Placed
CSE,Tier 3,66,9.47,3,41,100,97,63,0,3,7,87,75.16,Placed
IT,Tier 2,71,9.12,0,40,40,45,68,1,6,8,47,70.21,Placed
IT,Tier 1,89,7.77,2,79,97,58,48,3,5,5,52,66.24,Placed
AIML,Tier 2,80,9.85,0,99,65,57,43,0,7,8,94,93.21,Placed
ECE,Tier 3,90,7.38,0,90,62,45,90,0,5,3,82,61.04,Placed
ECE,Tier 3,83,9.93,1,69,65,84,63,1,7,5,99,92.58,Placed
MECH,Tier 2,79,8.51,1,50,84,72,53,1,2,7,100,64.83,Placed
MECH,Tier 3,96,8.36,3,67,45,62,44,0,6,8,96,39.71,Not Placed
MECH,Tier 1,63,6.25,4,83,45,62,57,1,6,2,46,12.26,Not Placed
IT,Tier 1,87,9.47,0,51,83,65,81,1,1,1,56,85.95,Placed
ECE,Tier 2,79,7.42,4,78,47,52,96,1,4,5,89,26.55,Not Placed
ECE,Tier 2,83,6.23,3,65,63,46,58,1,3,3,71,10.27,Not Placed
CSE,Tier 2,91,5.56,0,52,61,54,51,1,1,0,61,10.98,Not Placed
IT,Tier 3,100,8.02,0,98,58,83,57,3,6,7,94,86.4,Placed
EEE,Tier 1,95,7.87,5,47,76,66,56,1,1,8,90,17.67,Not Placed
IT,Tier 1,93,8.74,4,100,57,65,69,2,2,8,96,62.52,Placed
EEE,Tier 3,95,9.51,2,100,70,72,63,0,4,1,52,86.45,Placed
CSE,Tier 1,61,5.86,1,93,76,54,50,3,6,8,86,36.27,Not Placed
AIML,Tier 2,74,8.79,2,67,69,75,74,3,6,6,62,81.55,Placed
ECE,Tier 2,93,6.34,4,97,96,84,62,1,3,4,93,27.78,Not Placed
CSE,Tier 2,95,9.36,1,69,81,94,56,0,7,6,68,89.56,Placed
ECE,Tier 1,65,9.19,2,48,72,66,40,2,4,8,61,69.24,Placed
MECH,Tier 2,98,7.93,5,78,49,96,54,1,2,7,40,29.57,Not Placed
AIML,Tier 3,71,8.7,1,70,76,44,71,0,5,5,68,70.82,Placed
AIML,Tier 3,62,6.91,0,97,51,100,99,1,1,3,87,65.3,Placed
CSE,Tier 1,77,7.62,2,60,93,41,48,1,3,0,44,37.05,Not Placed
AIML,Tier 3,99,9.2,1,95,69,94,54,1,6,5,97,91.42,Placed
EEE,Tier 3,80,7.57,5,86,66,97,67,1,5,2,74,38.91,Not Placed
AIML,Tier 1,74,7.11,1,73,78,72,63,1,2,5,94,45.92,Not Placed
ECE,Tier 2,92,7.72,1,94,48,55,99,1,4,5,49,63.97,Placed
ECE,Tier 2,94,9.23,5,70,93,62,100,1,1,3,58,62.42,Placed
ECE,Tier 2,85,7.01,2,91,60,77,74,2,3,1,76,47.48,Not Placed
ECE,Tier 1,67,6.28,3,64,51,94,61,3,6,8,46,25.27,Not Placed
EEE,Tier 3,95,8.7,2,51,94,55,66,2,6,1,85,72.59,Placed
IT,Tier 2,89,9.22,4,40,68,53,58,1,5,2,74,47.27,Not Placed
MECH,Tier 2,82,5.95,5,94,72,68,84,1,5,9,84,14.02,Not Placed
CSE,Tier 1,73,6.58,2,61,82,65,51,2,1,0,52,23.28,Not Placed
ECE,Tier 2,73,6.14,1,79,92,74,59,2,4,6,49,40.81,Not Placed
AIML,Tier 1,61,7.07,5,76,54,54,40,3,2,0,41,13.43,Not Placed
ECE,Tier 3,96,7.53,0,86,41,42,60,2,7,8,45,61.24,Placed
